sku_id,sku_name,category,unit_cost,static_price,base_demand_units,price_elasticity,competitor_price,shelf_life_days
DRY-001,Whole Milk 1 Gal,Dairy,2.35,3.99,420,-1.8,4.09,10
DRY-002,2% Milk 1 Gal,Dairy,2.30,3.89,510,-1.7,3.95,10
DRY-003,Greek Yogurt 32oz,Dairy,2.10,4.49,310,-1.4,4.59,21
DRY-004,Cheddar Block 8oz,Dairy,2.80,4.99,260,-1.2,5.19,45
DRY-005,Butter 1 lb,Dairy,3.10,5.29,210,-1.1,5.39,60
DRY-006,Cottage Cheese 16oz,Dairy,1.65,3.19,180,-1.3,3.29,18
SNK-001,Potato Chips 8oz,Snacks,1.20,3.49,640,-2.1,3.29,90
SNK-002,Tortilla Chips 12oz,Snacks,1.35,3.99,580,-2.0,3.89,120
SNK-003,Choc Chip Cookies 14oz,Snacks,1.80,4.29,470,-1.9,4.19,120
SNK-004,Pretzels 16oz,Snacks,1.10,2.99,390,-1.8,2.89,180
SNK-005,Candy Bar Multipack,Snacks,2.40,5.49,520,-2.2,5.29,240
SNK-006,Crackers 13oz,Snacks,1.45,3.59,360,-1.6,3.49,180
